,Borough,Neighborhood,ID,Name
0,Brooklyn,Bushwick,5b392628336273003994f438,Millieâ€™s Cuban Cafe
1,Brooklyn,Carroll Gardens,55d8f517498e3658c1387428,Cubana Cafe
2,Brooklyn,Fort Greene,42d1b680f964a5200b261fe3,Habana Outpost
3,Brooklyn,Downtown,50478b43e4b05a8c89d8198c,Sophies Cuban Cuisine
4,Brooklyn,City Line,4d978a6c61a3a1cde451b842,El Castillo De Jagua
5,Manhattan,Manhattanville,50cd10ffe4b0981e0a1a1c9e,Harlem's Floridita
6,Manhattan,East Harlem,4a6908c3f964a5207ecb1fe3,Amor Cubano
7,Manhattan,Lenox Hill,542c3100498e17795d2fc676,Sophie's Cuban Cuisine
8,Manhattan,Midtown,4ce5648a5fce5481ba5e5baa,Sophie's Cuban Cuisine
9,Manhattan,Murray Hill,4ac3af5ff964a5205c9c20e3,Sophie's Cuban Cuisine
10,Manhattan,Greenwich Village,425f0400f964a52007211fe3,Cuba
11,Manhattan,Financial District,4a82f013f964a52096f91fe3,Sophie's Cuban Cuisine
12,Manhattan,Civic Center,4b311e89f964a520890025e3,Sophie's Cuban Cuisine
13,Queens,Hunters Point,4bddab2effdec928edece5a1,Madera Cuban Grill & Steakhouse
14,Manhattan,Flatiron,4ad64e3ff964a520700621e3,Sophie's Cuban Cuisine
